Model,CV_R2_Mean,CV_R2_Std,CV_RMSE_Mean,CV_RMSE_Std,CV_MAE_Mean,CV_MAE_Std,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Test_MAPE,Training_Time,Overfitting
Polynomial (deg=3),0.41386511961033035,0.022045523140316353,431088.07823727216,4816.690424475171,0.0,0.0,0.45617696747367553,0.4405505151383,415539.62145027035,424534.10373041563,332856.2873280077,341067.5714632458,47.56347080619227,0.0,0.02668539552796967
KNN Regression,0.3982601613253946,0.02301895513853302,436775.5566620288,4039.1288801896367,342613.0108503024,4013.299002894482,0.6037522366423682,0.4024218792757672,354704.789809697,438762.48622296745,269976.9691441337,340727.60271328676,46.84730017031595,0.7830169200897217,0.004161717950372623
Polynomial (deg=2),0.2899762210387794,0.016782694580638743,474601.2320256919,7768.361681711614,0.0,0.0,0.3091853386561385,0.3272163278883161,468343.41055986536,465553.7895687499,385716.81736504374,384511.2735980306,53.3852287881962,0.0,0.037240106849536714
Ridge Regression,0.14365557194510192,0.014919235918581549,521246.27198105527,8484.707787819063,429989.7331562537,6086.274548746224,0.14746215349649205,0.15298876055983257,520284.0053644654,522368.2006800624,429138.8160149368,434211.60354405927,62.368416234769384,0.10293197631835938,0.009333188614730648
Elastic Net,0.14364839930422696,0.015023169848613073,521247.44156157423,8456.316131294763,429988.1526261714,6061.447525697538,0.14745748795610358,0.15299059927251024,520285.4289978733,522367.633694933,429140.40938787267,434212.56473291124,62.36872825175255,0.3640408515930176,0.009342199968283282
Linear SVR,0.1435180767506506,0.015528349886752257,521281.83932513074,8298.570746910813,429955.7724046943,5911.426507791865,0.14754989698060428,0.152803320057463,520257.2307724494,522425.37992141256,429059.56687172153,434160.491074672,62.29480570770621,0.11742043495178223,0.009285243306812407
Lasso Regression,0.14346054575260755,0.015561492272386996,521299.1952418792,8300.595074170045,430011.4956893741,5931.659487339692,0.147555191640653,0.1528062077608756,520255.61508289626,522424.4895668623,429088.0531588124,434201.6935065689,62.359684133143155,1.9740078449249268,0.009345662008268057
Linear Regression,0.14285590546694302,0.016062380253491576,521479.40622014785,8238.794455279683,430090.9882963452,5873.453566789307,0.1475623530702207,0.1528474851972258,520253.4297321655,522411.7624868912,429082.6116356955,434205.7605351894,62.350650260068605,13.135592699050903,0.009991579730282779
SVR (linear),0.05588316965277995,0.009307516638067986,547343.33278436,9356.451303821288,442325.5514445662,6214.736082638582,0.06708837367932341,0.06459474762070738,544256.8376215879,548949.0612400739,439119.75725272467,447186.76902161934,58.13882480939563,5.9924163818359375,0.00871157796792743
